"Training Date","Phase","Target Sets","Target Reps per Set","Total Target Push-ups","COMPLETED (Y/N)","COMPLETED THUS FAR","TOTAL GOAL","LEFT REMAINING","PHASE","","","","","","","","","","","","","","","","",""
"03-11-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-12-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-14-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-17-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-18-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-20-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-23-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-25-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-26-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-28-2025","Foundation","3","5","15","Y","150","150","0","1","","","","","","","","","","","","","","","","",""
"03-30-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-01-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-04-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-06-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-07-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-10-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-11-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-13-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-16-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-17-2025","Foundation","4","8","32","Y","320","320","64","2","","","","","","","","","","","","","","","","",""
"04-19-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-21-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-23-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-25-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-28-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-30-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"05-12-2025","Foundation","5","10","50","","","","","3","","","","","","","","","","","","","","","","",""
"05-14-2025","Foundation","5","10","50","","","","","3","","","","","","","","","","","","","","","","",""
"05-16-2025","Foundation","5","10","50","","","","","3","","","","","","","","","","","","","","","","",""
"05-18-2025","Foundation","5","10","50","","300","500","350","3","","","","","","","","","","","","","","","","",""
"05-20-2025","Foundation","6","15","90","","","","","4","","","","","","","","","","","","","","","","",""
"05-22-2025","Foundation","7","17","119","","","","","4","","","","","","","","","","","","","","","","",""
